name,city,country,lat,lon,altitude_m
MetLife Stadium,New York/NJ,USA,40.8135,-74.0745,7
Mercedes-Benz Stadium,Atlanta,USA,33.7554,-84.4008,320
Gillette Stadium,Boston,USA,42.0909,-71.2643,32
AT&T Stadium,Dallas,USA,32.7473,-97.0945,150
NRG Stadium,Houston,USA,29.6847,-95.4107,15
Arrowhead Stadium,Kansas City,USA,39.0489,-94.4839,270
SoFi Stadium,Los Angeles,USA,33.9535,-118.3392,30
Hard Rock Stadium,Miami,USA,25.958,-80.2389,2
Lincoln Financial Field,Philadelphia,USA,39.9008,-75.1675,12
Levi's Stadium,San Francisco,USA,37.403,-121.97,9
Lumen Field,Seattle,USA,47.5952,-122.3316,5
Estadio Azteca,Mexico City,Mexico,19.3029,-99.1505,2240
Estadio Akron,Guadalajara,Mexico,20.6817,-103.4626,1566
Estadio BBVA,Monterrey,Mexico,25.6692,-100.2444,530
BMO Field,Toronto,Canada,43.6332,-79.4186,76
BC Place,Vancouver,Canada,49.2767,-123.1117,3
